EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2016,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,408,138,270,3,1,2,12,3,9,100,45,55,"Under $5,000","$ 95,000 - $99,999"
Bank of Montreal,2016,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,111,29,82,1,,1,3,1,2,14,6,8,"Under $5,000","$ 95,000 - $99,999"
Bank of Montreal,2016,Part-Time,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,4,1,,1,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2016,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Supervisors,2,13,6,7,,,,1,,1,7,4,3,"$ 15,000 - $19,999","$ 65,000 - $69,999"
Bank of Montreal,2016,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Clerical Personnel,2,15,4,11,,,,,,,9,3,6,"$  5,000 - $ 9,999","$ 55,000 - $59,999"
Bank of Montreal,2012,Full-Time,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,13,11,2,,,,1,1,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,2,,,,,,,,,,,,,"$ 75,000 - $79,999","$ 85,000 - $89,999"
Bank of Montreal,2012,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,1,3,3,,,,,,,,1,1,,"$ 75,000 - $79,999","$ 85,000 - $89,999"
Bank of Montreal,2012,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,2,30,14,16,,,,,,,2,2,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,2,2,,,,,1,1,,,,,"$ 60,000 - $64,999","$ 90,000 - $94,999"
Bank of Montreal,2012,Part-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,,,,,,,,,,,,,"$ 15,000 - $19,999","$ 20,000 - $24,999"
Bank of Montreal,2012,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Middle and Other Managers,3,1,,1,,,,,,,,,,"$ 15,000 - $19,999","$ 80,000 - $84,999"
Bank of Montreal,2013,Full-Time,National,Canada,5221,Depository Credit Intermediation,Senior Managers,1,157,100,57,2,2,,7,6,1,19,13,6,"$ 90,000 - $94,999","$100,000 and over"
Bank of Montreal,2013,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,4,,,,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2013,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,2,14,,14,,,,1,,1,,,,"$ 15,000 - $19,999","$ 35,000 - $39,999"
Bank of Montreal,2013,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,1,9,2,7,,,,,,,3,,3,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2013,Part-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,2,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2013,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,3,26,7,19,,,,3,2,1,8,4,4,"Under $5,000","$ 65,000 - $69,999"
Bank of Montreal,2010,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,2,20,2,18,1,,1,1,,1,3,1,2,"$ 20,000 - $24,999","$ 50,000 - $54,999"
Bank of Montreal,2010,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Professionals,3,,,,,,,,,,,,,"$ 30,000 - $34,999","$ 30,000 - $34,999"
Bank of Montreal,2014,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,3,1,2,,,,,,,,,,"$ 10,000 - $14,999","$ 55,000 - $59,999"
Bank of Montreal,2014,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Senior Managers,4,1,1,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2014,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Supervisors,2,,,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2014,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Professionals,4,7,,7,,,,,,,,,,"$  5,000 - $ 9,999","$ 65,000 - $69,999"
Bank of Montreal,2014,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Middle and Other Managers,2,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2014,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,1,,,,,,,,1,1,,"$ 35,000 - $39,999","$ 40,000 - $44,999"
Bank of Montreal,2019,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Middle and Other Managers,1,169,62,107,5,2,3,13,1,12,61,29,32,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2018,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,3,5,5,,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2018,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Clerical Personnel,2,1,,1,,,,,,,1,,1,"$ 35,000 - $39,999","$ 55,000 - $59,999"
Bank of Montreal,2018,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,3,2,,2,,,,,,,1,,1,"$ 20,000 - $24,999","$ 65,000 - $69,999"
Bank of Montreal,2018,Part-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,19,12,7,,,,1,1,,3,1,2,"$ 10,000 - $14,999","$ 55,000 - $59,999"
Bank of Montreal,2018,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,4,2,,2,,,,,,,,,,"$ 15,000 - $19,999","$ 40,000 - $44,999"
Bank of Montreal,2018,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,3,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 60,000 - $64,999"
Bank of Montreal,2015,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,1,1,1,,,,,,,,,,,"$ 45,000 - $49,999","$ 45,000 - $49,999"
Bank of Montreal,2015,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,2,27,18,9,,,,,,,6,2,4,"$ 20,000 - $24,999","$100,000 and over"
Bank of Montreal,2015,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,3,9,3,6,,,,1,,1,1,,1,"$ 25,000 - $29,999","$ 75,000 - $79,999"
Bank of Montreal,2015,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,3,3,,,,,,,,1,1,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2015,Part-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,4,,,,,,,,,,,,,"$ 40,000 - $44,999","$ 40,000 - $44,999"
Bank of Montreal,2015,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,1,5,2,3,,,,,,,3,2,1,"$ 10,000 - $14,999","$ 40,000 - $44,999"
