EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,42,14,28,3,,3,2,1,1,3,,3,39,13,26,3,,3,2,1,1,3,,3
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,156,60,96,1,1,,4,1,3,39,19,20
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,74,33,41,,,,1,,1,30,18,12
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,5,1,4,,,,,,,3,1,2
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,84,18,66,4,1,3,4,1,3,28,9,19
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,778,369,409,8,2,6,18,6,12,322,175,147
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,43,21,22,,,,1,1,,19,7,12
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,9,3,6,,,,1,,1,,,
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,38,20,18,,,,,,,10,5,5
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,25,14,11,1,,1,,,,4,3,1
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,5450,2103,3347,94,22,72,96,37,59,2033,883,1150,4936,1908,3028,84,20,64,91,34,57,1854,810,1044
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2016,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,6,2,4,,,,,,,4,2,2
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,1,
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,29,10,19,1,,1,1,,1,6,3,3,28,10,18,1,,1,1,,1,5,3,2
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,4,2,2,,,,,,,,,
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,11,3,8,,,,,,,4,3,1
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,86,43,43,,,,3,2,1,50,26,24
