EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,2,2,,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,5,1,4,,,,,,,1,,1
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Other Manual Workers,Full-Time,2,,2,,,,,,,,,
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,13,1,12,,,,,,,2,1,1
Bank of Montreal,2014,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2014,Provincial,Alberta,,,Overall,Full-Time,316,118,198,8,4,4,12,3,9,72,36,36
Bank of Montreal,2018,Provincial,Qu�bec,,,Overall,Full-Time,637,328,309,4,1,3,17,4,13,206,117,89
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,1,,,,,,,,,,
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,25,6,19,3,1,2,,,,,,
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Other Manual Workers,Full-Time,8,2,6,1,1,,4,1,3,,,
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,61,40,21,1,1,,2,2,,11,8,3
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,4,1,3,,,,1,,1,,,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,35,11,24,,,,1,,1,13,4,9
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,2,1,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Nova Scotia,,,Overall,Full-Time,51,15,36,1,,1,4,,4,4,2,2
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,2,,2,,,,,,,1,,1
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,12,5,7,,,,1,,1,2,,2
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,2,,2,,,,,,,1,,1
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,14,4,10,,,,2,,2,5,2,3
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,10,7,3,1,1,,1,1,,3,3,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,44,11,33,1,1,,,,,19,6,13
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,,,Overall,Full-Time,31,6,25,3,,3,4,,4,,,
Bank of Montreal,2013,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,12,2,10,1,,1,,,,3,1,2
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,33,9,24,1,,1,,,,7,4,3
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,119,34,85,3,,3,4,1,3,12,2,10
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,39,26,13,,,,,,,16,13,3
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,208,73,135,4,,4,9,4,5,74,38,36
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,4,2,2,,,,,,,1,,1
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,11,4,7,,,,,,,6,3,3
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,156,59,97,3,1,2,1,,1,54,25,29
Bank of Montreal,2012,Provincial,Manitoba,,,Overall,Full-Time,36,12,24,1,,1,1,1,,5,1,4
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,4,1,3,,,,,,,,,
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,630,386,244,6,4,2,16,10,6,237,150,87
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,91,16,75,1,,1,3,1,2,19,7,12
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,2,,2,,,,,,,,,
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,11,3,8,,,,,,,3,3,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Other Manual Workers,Full-Time,5,1,4,1,1,,3,1,2,,,
Bank of Montreal,2011,Provincial,British Columbia,,,Overall,Full-Time,196,82,114,7,1,6,6,2,4,82,43,39
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,108,23,85,2,,2,,,,25,7,18
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,79,47,32,1,,1,4,4,,36,23,13
Bank of Montreal,2012,Provincial,Ontario,,,Overall,Part-Time,265,57,208,6,2,4,10,3,7,82,23,59
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,59,27,32,,,,,,,21,13,8
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,21,2,19,1,,1,1,,1,2,,2
Bank of Montreal,2013,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,6,1,5,,,,,,,,,
Bank of Montreal,2014,National,Canada,,,Overall,Full-Time,2890,1332,1558,52,17,35,114,54,60,915,475,440
Bank of Montreal,2014,Provincial,British Columbia,,,Overall,Full-Time,244,108,136,6,2,4,8,4,4,95,48,47
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,35,5,30,1,,1,3,2,1,4,1,3
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,62,22,40,1,,1,4,,4,25,9,16
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,2,1,1,,,,,,,,,
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,1,,,,,,,,,,
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,4,2,2,,,,,,,,,
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,3,1,2,,,,1,,1,,,
Bank of Montreal,2013,Provincial,Nova Scotia,,,Overall,Part-Time,26,4,22,,,,,,,3,1,2
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,236,65,171,5,1,4,16,5,11,83,25,58
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,2,,2,,,,1,,1,1,,1
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,17,3,14,,,,,,,1,,1
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,18,14,4,,,,2,2,,3,2,1
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,42,8,34,,,,4,,4,13,4,9
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,2,,2,,,,,,,,,
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,2,,2,,,,1,,1,,,
Bank of Montreal,2014,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2010,Provincial,New Brunswick,,,Overall,Part-Time,13,1,12,,,,,,,,,
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,71,30,41,1,,1,1,,1,14,7,7
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,13,,13,,,,,,,,,
Bank of Montreal,2011,Provincial,New Brunswick,,,Overall,Full-Time,20,6,14,2,,2,2,,2,2,,2
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,709,361,348,13,6,7,32,19,13,198,117,81
