EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2010,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,42,12,30,1,,1,1,1,,14,4,10
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2012,Provincial,New Brunswick,,,Overall,Full-Time,12,6,6,1,,1,,,,,,
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,843,535,308,6,4,2,12,9,3,295,205,90
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,3,2,1,,,,,,,1,1,
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,4,1,3,,,,,,,,,
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,12,5,7,,,,1,,1,,,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,901,565,336,7,5,2,15,10,5,492,306,186
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,20,5,15,2,,2,1,1,,3,1,2
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,27,5,22,,,,1,,1,3,1,2
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,342,184,158,3,2,1,5,2,3,211,122,89
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,11,4,7,,,,,,,2,1,1
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,205,48,157,11,,11,7,1,6,71,24,47
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,11,4,7,,,,,,,3,1,2
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,5,2,3,,,,,,,1,,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,17,4,13,,,,,,,5,1,4
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,11,7,4,,,,,,,4,2,2
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,13,5,8,1,,1,,,,1,1,
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,37,5,32,2,,2,,,,10,3,7
Bank of Montreal,2016,Provincial,Saskatchewan,,,Overall,Part-Time,41,8,33,2,,2,,,,11,3,8
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,41,8,33,2,,2,,,,11,3,8
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,1240,397,843,42,7,35,40,9,31,378,152,226
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,37,25,12,,,,,,,14,11,3
Bank of Montreal,2013,Provincial,Qu�bec,,,Overall,Part-Time,226,64,162,,,,3,1,2,33,11,22
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,132,32,100,4,1,3,4,2,2,31,7,24
Bank of Montreal,2015,Provincial,Qu�bec,,,Overall,Full-Time,593,308,285,4,2,2,9,5,4,191,101,90
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,14,8,6,,,,,,,6,3,3
Bank of Montreal,2015,Provincial,Nova Scotia,,,Overall,Full-Time,29,19,10,1,,1,1,1,,8,6,2
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,8,5,3,,,,,,,1,1,
Bank of Montreal,2019,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,6,4,2,1,1,,,,,4,2,2
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,12,5,7,,,,1,1,,3,,3
Bank of Montreal,2013,Provincial,Manitoba,,,Overall,Full-Time,29,13,16,2,,2,1,,1,8,5,3
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,30,16,14,,,,1,,1,10,6,4
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Full-Time,53,34,19,,,,2,1,1,13,8,5
