ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
5146,1941.0,3205.0,88.0,20.0,68.0,96.0,35.0,61.0,1896.0,819.0,1077.0
6179,2459.0,3720.0,83.0,30.0,53.0,113.0,51.0,62.0,2445.0,1111.0,1334.0
4157,1714.0,2443.0,59.0,21.0,38.0,97.0,44.0,53.0,1697.0,777.0,920.0
3184,1278.0,1906.0,63.0,16.0,47.0,83.0,38.0,45.0,1182.0,545.0,637.0
4045,1679.0,2366.0,49.0,9.0,40.0,108.0,45.0,63.0,1581.0,734.0,847.0
3798,1630.0,2168.0,55.0,9.0,46.0,113.0,41.0,72.0,1528.0,725.0,803.0
3689,1586.0,2103.0,47.0,12.0,35.0,129.0,48.0,81.0,1349.0,652.0,697.0
3948,1800.0,2148.0,46.0,15.0,31.0,117.0,46.0,71.0,1638.0,821.0,817.0
5658,2068.0,3590.0,108.0,22.0,86.0,220.0,51.0,169.0,2044.0,906.0,1138.0
3705,1612.0,2093.0,35.0,12.0,23.0,149.0,49.0,100.0,1521.0,705.0,816.0
